onset	duration	event_type	stimulus_id	response_time
0	32	-1	n/a	0
32	8	1	2480855.014628	0.0
40	8	1	4284002.018325	0.0
48	8	1	3609235.007271	0.0
56	8	1	4482393.018295	0.0
64	8	2	4482393.018295	65.0407380685
72	8	1	3790512.041520	0.0
80	8	1	4398044.016414	0.0
88	8	2	4398044.016414	89.0391703583
96	8	1	4225987.007933	0.0
104	8	1	3623556.017722	0.0
112	8	1	1970164.023221	0.0
120	8	1	2943871.010058	0.0
128	8	1	2766534.018271	0.0
136	8	1	1518878.014075	0.0
144	8	1	3646296.010069	0.0
152	8	1	3721384.022007	0.0
160	8	1	3209910.013490	0.0
168	8	1	3436182.005137	0.0
176	8	1	4442312.015619	0.0
184	8	1	1772222.016161	0.0
192	8	1	3612010.009076	0.0
200	8	1	3886762.007939	0.0
208	8	1	2814860.037788	0.0
216	8	1	2974003.002406	0.0
224	8	1	3743279.005689	0.0
232	8	1	2374451.018054	0.0
240	8	1	2841315.014915	0.0
248	8	1	4180888.002422	0.0
256	8	1	3815615.021684	0.0
264	8	1	3494278.042246	0.0
272	8	1	4255586.001521	0.0
280	8	2	4255586.001521	281.164683738
288	8	1	1963571.019866	0.0
296	8	1	3649909.016050	0.0
304	8	2	3649909.016050	306.029385098
312	8	1	3642806.027943	0.0
320	8	1	4123740.014377	0.0
328	8	1	4401680.026778	0.0
336	8	1	2692877.014682	0.0
344	8	1	4113406.023511	0.0
352	8	1	2998003.006262	0.0
360	8	1	2090827.009359	0.0
368	8	1	4044716.019527	0.0
376	8	2	4044716.019527	377.043070004
384	8	1	11978233.042157	0.0
392	8	1	2802215.019473	0.0
400	8	1	4273569.016391	0.0
408	8	1	3187595.005735	0.0
416	8	1	12582231.029287	0.0
424	8	1	1768244.008871	0.0
432	8	1	3335030.014253	0.0
440	8	1	4409806.009916	0.0
448	8	1	1770393.024657	0.0
456	8	1	2346627.010311	0.0
464	8	1	1639765.044823	0.0
472	6	-2	n/a	0
