onset	duration	event_type	stimulus_id	response_time
0	32	-1	n/a	0.0
32	8	1	2480855.0208650003	0.0
40	8	1	1944390.0199880002	0.0
48	8	1	4442441.0064779995	0.0
56	8	1	4497801.006187	0.0
64	8	1	4197391.011231	0.0
72	8	1	2808440.0432490003	0.0
80	8	1	4254680.01017	0.0
88	8	2	4254680.01017	89.02579861129999
96	8	1	3445777.0091589997	0.0
104	8	1	2439033.015634	0.0
112	8	1	3261776.027103	0.0
120	8	1	3359137.0194650004	0.0
128	8	1	4555897.023902	0.0
136	8	1	3494278.03579	0.0
144	8	1	1726692.018809	0.0
152	8	1	2233338.0002139998	0.0
160	8	1	3187595.000091	0.0
168	8	1	4373894.059446	0.0
176	8	2	4373894.059446	177.037827114
184	8	1	3335030.0419139997	0.0
192	8	1	3646296.009175	0.0
200	8	1	2841315.016314	0.0
208	8	1	1770393.0282810002	0.0
216	8	1	2090827.01348	0.0
224	8	1	2692877.015805	0.0
232	8	1	2054036.005709	0.0
240	8	1	2885462.009275	0.0
248	8	1	1645776.009693	0.0
256	8	2	1645776.009693	257.034057655
264	8	1	2374451.01272	0.0
272	8	1	4284002.0102699995	0.0
280	8	1	3085013.0238	0.0
288	8	1	3397947.006288	0.0
296	8	1	1704323.010239	0.0
304	8	2	1704323.010239	305.029485874
312	8	1	4009552.008947	0.0
320	8	1	4412416.014153	0.0
328	8	1	3746005.007486	0.0
336	8	1	2084071.0282490002	0.0
344	8	1	1518878.008432	0.0
352	8	1	3512147.007137	0.0
360	8	1	2943871.008123	0.0
368	8	1	4320973.007391	0.0
376	8	1	3950228.037563	0.0
384	8	1	2998003.007121	0.0
392	8	1	2800213.0031080004	0.0
400	8	1	4168199.009862	0.0
408	8	1	4090263.013803	0.0
416	8	1	12596148.004874	0.0
424	8	1	1664990.013731	0.0
432	8	1	3918737.016966	0.0
440	8	1	3085219.0042669997	0.0
448	8	2	3085219.0042669997	449.02366391099997
456	8	1	1855672.01531	0.0
464	8	1	4233124.012727	0.0
472	6	-2	n/a	0.0
