onset	duration	event_type	stimulus_id	response_time
0	32	-1	n/a	0
32	8	1	3038480.000279	0.0
40	8	1	2480855.014628	0.0
48	8	1	1664990.000065	0.0
56	8	1	3602883.010003	0.0
64	8	1	3649909.011709	0.0
72	8	1	2503517.012142	0.0
80	8	2	2503517.012142	81.0330130449
88	8	1	1768244.007012	0.0
96	8	1	3085013.020689	0.0
104	8	1	2439033.006549	0.0
112	8	1	4477387.004979	0.0
120	8	1	3918737.011347	0.0
128	8	1	1770393.028281	0.0
136	8	1	3815615.021684	0.0
144	8	1	2843158.002978	0.0
152	8	1	3612010.009076	0.0
160	8	1	3496296.004945	0.0
168	8	1	3483823.015156	0.0
176	8	1	4090263.005363	0.0
184	8	1	3609235.004455	0.0
192	8	1	2346627.005663	0.0
200	8	1	2802215.019473	0.0
208	8	1	7734017.018410	0.0
216	8	1	4154565.010692	0.0
224	8	1	3607659.008657	0.0
232	8	2	3607659.008657	233.042141012
240	8	1	4412416.011267	0.0
248	8	1	3400231.004196	0.0
256	8	1	3209910.026897	0.0
264	8	1	2841315.022761	0.0
272	8	1	4225987.007933	0.0
280	8	1	4587559.011491	0.0
288	8	1	4591713.007167	0.0
296	8	1	2799175.015904	0.0
304	8	1	3512147.005054	0.0
312	8	1	3397947.009823	0.0
320	8	1	4146614.007893	0.0
328	8	2	4146614.007893	329.035369289
336	8	1	3261776.031671	0.0
344	8	1	4376876.007775	0.0
352	8	1	1970164.030420	0.0
360	8	1	4313503.023211	0.0
368	8	2	4313503.023211	373.083412393
376	8	1	3924679.009022	0.0
384	8	1	3837869.003611	0.0
392	8	2	3837869.003611	393.10052749
400	8	1	2814860.035555	0.0
408	8	1	4254680.001740	0.0
416	8	1	3665924.049231	0.0
424	8	1	2226429.012778	0.0
432	8	1	2974003.004448	0.0
440	8	1	2068974.006018	0.0
448	8	1	2769748.033148	0.0
456	8	1	7756951.018174	0.0
464	8	1	11978233.026590	0.0
472	6	-2	n/a	0
