onset	duration	event_type	stimulus_id	response_time
0	32	-1	n/a	0
32	8	1	2802215.006616	0.0
40	8	1	2800213.015518	0.0
48	8	1	3612010.004285	0.0
56	8	1	3623556.020302	0.0
64	8	1	2503517.009095	0.0
72	8	1	4591713.004821	0.0
80	8	1	4587559.006132	0.0
88	8	1	4313503.021714	0.0
96	8	1	4442441.001910	0.0
104	8	1	2445715.017475	0.0
112	8	1	2508213.005695	0.0
120	8	1	3038480.006604	0.0
128	8	2	3038480.006604	129.042342629
136	8	1	1963571.016954	0.0
144	8	1	2814860.037788	0.0
152	8	1	3607659.001968	0.0
160	8	1	2439033.014148	0.0
168	8	1	3982430.021511	0.0
176	8	1	2233338.006133	0.0
184	8	1	3541923.009436	0.0
192	8	1	1664990.019129	0.0
200	8	1	3483823.007612	0.0
208	8	1	7758680.019085	0.0
216	8	1	2374451.017284	0.0
224	8	1	3642806.015854	0.0
232	8	1	1768244.011944	0.0
240	8	1	3815615.029630	0.0
248	8	1	4320973.015299	0.0
256	8	1	1645776.008879	0.0
264	8	2	1645776.008879	265.034776597
272	8	1	3792782.021048	0.0
280	8	1	1855672.013449	0.0
288	8	1	3543603.002363	0.0
296	8	1	4442312.024134	0.0
304	8	2	4442312.024134	305.033122322
312	8	1	4555897.039418	0.0
320	8	1	3085219.003190	0.0
328	8	2	3085219.003190	329.032184844
336	8	1	4146614.006366	0.0
344	8	1	1833805.012045	0.0
352	8	1	13111881.006054	0.0
360	8	1	2882647.000169	0.0
368	8	1	2692877.011314	0.0
376	8	1	4180888.005987	0.0
384	8	1	4412416.006897	0.0
392	8	1	3261776.016887	0.0
400	8	1	3496296.009005	0.0
408	8	1	1704323.008008	0.0
416	8	1	4070727.023757	0.0
424	8	1	3400231.002908	0.0
432	8	1	7734017.007308	0.0
440	8	1	2090827.005708	0.0
448	8	1	3345487.022197	0.0
456	8	1	3467796.003445	0.0
464	8	2	3467796.003445	465.042951411
472	6	-2	n/a	0
