onset	duration	event_type	stimulus_id	response_time
0	32	-1	n/a	0.0
32	8	1	4123740.0154230003	0.0
40	8	1	2769748.015626	0.0
48	8	1	3187595.0064540002	0.0
56	8	1	2090827.0057080002	0.0
64	8	1	3760671.0136589995	0.0
72	8	1	1833805.0090889998	0.0
80	8	1	1963571.016954	0.0
88	8	1	2885462.013911	0.0
96	8	1	3792782.0210480005	0.0
104	8	1	3483823.00815	0.0
112	8	1	3085219.0042669997	0.0
120	8	1	4591713.003315	0.0
128	8	2	4591713.003315	130.040856019
136	8	1	4146614.003266	0.0
144	8	1	3886762.0094660004	0.0
152	8	1	3541923.009436	0.0
160	8	2	3541923.009436	166.435643298
168	8	1	4273569.0044370005	0.0
176	8	2	4273569.0044370005	177.189875833
184	8	1	2799175.015904	0.0
192	8	1	2374451.01272	0.0
200	8	1	3397947.0074529997	0.0
208	8	1	2432983.031019	0.0
216	8	1	11978233.020269	0.0
224	8	1	7734744.018574	0.0
232	8	1	2226429.015538	0.0
240	8	1	1877134.011102	0.0
248	8	1	3335030.054164	0.0
256	8	1	4401680.022803	0.0
264	8	1	3543603.0059419996	0.0
272	8	1	4254680.001247	0.0
280	8	1	2391049.003228	0.0
288	8	1	4284002.01466	0.0
296	8	1	2503517.003324	0.0
304	8	1	4376876.013235	0.0
312	8	1	1970164.03042	0.0
320	8	1	2233338.013505	0.0
328	8	1	12582231.027245	0.0
336	8	1	2943871.01105	0.0
344	8	2	2943871.01105	345.02952042
352	8	1	4412416.006897	0.0
360	8	1	3837869.0070660003	0.0
368	8	1	4044716.006288	0.0
376	8	1	4442441.00191	0.0
384	8	1	2882647.0001689997	0.0
392	8	2	2882647.0001689997	393.027008496
400	8	1	3918737.022699	0.0
408	8	1	4313503.020808	0.0
416	8	1	3665924.0261580003	0.0
424	8	1	4555897.007654	0.0
432	8	1	4497801.019746	0.0
440	8	1	2055803.004843	0.0
448	8	1	3436182.01221	0.0
456	8	1	2508213.013464	0.0
464	8	1	4009552.0128940004	0.0
472	6	-2	n/a	0.0
