onset	duration	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	2885462.017169	n02885462_17169	403	403	n/a
40	8	1	2882647.003406	n02882647_3406	399	399	n/a
48	8	1	1784675.015243	n01784675_15243	75	75	n/a
56	8	2	1784675.015243	n01784675_15243	75	75	57.042837
64	8	1	4442312.016618	n04442312_16618	1069	1069	n/a
72	8	1	3623556.006577	n03623556_6577	686	686	n/a
80	8	1	2055803.009893	n02055803_9893	160	160	n/a
88	8	1	2131653.003900	n02131653_3900	189	189	n/a
96	8	1	2226429.012778	n02226429_12778	194	194	n/a
104	8	1	3790512.013675	n03790512_13675	755	755	n/a
112	8	1	2480855.009990	n02480855_9990	288	288	n/a
120	8	2	2480855.009990	n02480855_9990	288	288	121.039267
128	8	1	3837869.008484	n03837869_8484	791	791	n/a
136	8	1	1855672.014080	n01855672_14080	99	99	n/a
144	8	1	3665924.044847	n03665924_44847	716	716	n/a
152	8	1	3544143.007095	n03544143_7095	647	647	n/a
160	8	1	2802215.021594	n02802215_21594	356	356	n/a
168	8	1	4419073.014805	n04419073_14805	1060	1060	n/a
176	8	1	3472535.004373	n03472535_4373	590	590	n/a
184	8	1	2054036.017099	n02054036_17099	147	147	n/a
192	8	1	3063599.005015	n03063599_5015	448	448	n/a
200	8	1	4168199.009648	n04168199_9648	910	910	n/a
208	8	1	3255030.011168	n03255030_11168	489	489	n/a
216	8	1	4009552.012894	n04009552_12894	834	834	n/a
224	8	1	4180888.011100	n04180888_11100	913	913	n/a
232	8	1	4398044.018539	n04398044_18539	1022	1022	n/a
240	8	1	3649909.042614	n03649909_42614	712	712	n/a
248	8	1	2090827.011579	n02090827_11579	178	178	n/a
256	8	1	2472293.000131	n02472293_131	274	274	n/a
264	8	1	4442441.007198	n04442441_7198	1079	1079	n/a
272	8	1	1768244.009890	n01768244_9890	56	56	n/a
280	8	1	4587559.007411	n04587559_7411	1120	1120	n/a
288	8	2	4587559.007411	n04587559_7411	1120	1120	289.032420
296	8	1	2481823.005715	n02481823_5715	295	295	n/a
304	8	1	4555897.018677	n04555897_18677	1106	1106	n/a
312	8	1	2974003.006740	n02974003_6740	421	421	n/a
320	8	1	3467796.005051	n03467796_5051	580	580	n/a
328	8	1	3187595.006454	n03187595_6454	476	476	n/a
336	8	1	1770393.010195	n01770393_10195	57	57	n/a
344	8	1	4070727.031219	n04070727_31219	855	855	n/a
352	8	1	4254680.010097	n04254680_10097	945	945	n/a
360	8	1	4409806.005820	n04409806_5820	1045	1045	n/a
368	8	1	3483823.008150	n03483823_8150	599	599	n/a
376	8	2	3483823.008150	n03483823_8150	599	599	377.044154
384	8	1	2799175.016780	n02799175_16780	342	342	n/a
392	8	1	3793489.008932	n03793489_8932	776	776	n/a
400	8	1	3743279.013788	n03743279_13788	731	731	n/a
408	8	1	2943871.004136	n02943871_4136	412	412	n/a
416	8	1	3359137.039086	n03359137_39086	526	526	n/a
424	8	1	4612026.003878	n04612026_3878	1131	1131	n/a
432	8	1	2233338.009484	n02233338_9484	208	208	n/a
440	8	1	12582231.018321	n12582231_18321	1177	1177	n/a
448	8	1	4086273.037855	n04086273_37855	863	863	n/a
456	8	2	4086273.037855	n04086273_37855	863	863	459.039382
464	8	1	2503517.007340	n02503517_7340	302	302	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
