onset	duration	event_type	stimulus_id	response_time
0	32	-1	n/a	0
32	8	1	21	0.0
40	8	1	34	0.0
48	8	1	31	0.0
56	8	1	37	0.0
64	8	1	20	0.0
72	8	1	35	0.0
80	8	1	25	0.0
88	8	1	17	0.0
96	8	1	4	0.0
104	8	1	32	0.0
112	8	2	32	113.414666726
120	8	1	16	0.0
128	8	1	2	0.0
136	8	2	2	137.028950299
144	8	1	12	0.0
152	8	2	12	153.144036772
160	8	1	19	0.0
168	8	1	13	0.0
176	8	1	5	0.0
184	8	1	24	0.0
192	8	1	29	0.0
200	8	1	38	0.0
208	8	1	39	0.0
216	8	1	11	0.0
224	8	1	40	0.0
232	8	1	26	0.0
240	8	1	1	0.0
248	8	1	36	0.0
256	8	1	28	0.0
264	8	1	33	0.0
272	8	1	22	0.0
280	8	1	18	0.0
288	8	2	18	289.036258551
296	8	1	7	0.0
304	8	1	3	0.0
312	8	1	9	0.0
320	8	1	27	0.0
328	8	1	10	0.0
336	8	1	14	0.0
344	8	1	23	0.0
352	8	1	15	0.0
360	8	1	30	0.0
368	8	1	8	0.0
376	8	1	6	0.0
384	6	-2	n/a	0
