onset	duration	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	3472535.004373	n03472535_4373	74	590	n/a
40	8	1	12596148.009625	n12596148_9625	149	1192	n/a
48	8	1	2131653.010825	n02131653_10825	24	185	n/a
56	8	1	4313503.021714	n04313503_21714	124	988	n/a
64	8	1	4587559.013336	n04587559_13336	140	1117	n/a
72	8	1	2439033.006549	n02439033_6549	33	262	n/a
80	8	1	2503517.012142	n02503517_12142	38	298	n/a
88	8	1	1944390.016184	n01944390_16184	15	113	n/a
96	8	1	4591713.006759	n04591713_6759	141	1127	n/a
104	8	2	4591713.006759	n04591713_6759	141	1127	106.030625
112	8	1	3837869.006421	n03837869_6421	99	789	n/a
120	8	1	7734744.008647	n07734744_8647	144	1152	n/a
128	8	1	4555897.026505	n04555897_26505	139	1108	n/a
136	8	1	4376876.016171	n04376876_16171	127	1014	n/a
144	8	1	3085219.008998	n03085219_8998	59	472	n/a
152	8	1	4272054.061432	n04272054_61432	121	968	n/a
160	8	1	4320973.012980	n04320973_12980	125	994	n/a
168	8	2	4320973.012980	n04320973_12980	125	994	169.109835
176	8	1	1833805.012045	n01833805_12045	12	90	n/a
184	8	1	4090263.010441	n04090263_10441	109	865	n/a
192	8	1	3063599.005015	n03063599_5015	56	448	n/a
200	8	1	4409515.006804	n04409515_6804	130	1039	n/a
208	8	1	1645776.009361	n01645776_9361	3	21	n/a
216	8	1	2068974.000106	n02068974_106	21	161	n/a
224	8	1	1784675.013237	n01784675_13237	10	73	n/a
232	8	1	3607659.001968	n03607659_1968	83	658	n/a
240	8	2	3607659.001968	n03607659_1968	83	658	241.040066
248	8	1	2054036.015344	n02054036_15344	19	146	n/a
256	8	1	13111881.028475	n13111881_28475	150	1196	n/a
264	8	1	2005790.009371	n02005790_9371	18	144	n/a
272	8	1	1877134.010662	n01877134_10662	14	106	n/a
280	8	1	3483823.005222	n03483823_5222	75	595	n/a
288	8	2	3483823.005222	n03483823_5222	75	595	289.037104
296	8	1	3397947.006288	n03397947_6288	68	541	n/a
304	8	1	2317335.006776	n02317335_6776	28	224	n/a
312	8	1	3512147.007137	n03512147_7137	78	624	n/a
320	8	1	1704323.005092	n01704323_5092	5	36	n/a
328	8	1	7758680.015982	n07758680_15982	146	1165	n/a
336	8	1	4477387.004979	n04477387_4979	136	1084	n/a
344	8	1	3543603.008721	n03543603_8721	80	639	n/a
352	8	1	4442441.005096	n04442441_5096	135	1076	n/a
360	8	1	2472293.024267	n02472293_24267	35	276	n/a
368	8	2	2472293.024267	n02472293_24267	35	276	369.034110
376	8	1	3496296.004945	n03496296_4945	77	615	n/a
384	8	1	2445715.000834	n02445715_834	34	272	n/a
392	8	1	2226429.014311	n02226429_14311	25	196	n/a
400	8	1	4497801.000076	n04497801_76	138	1102	n/a
408	8	1	2800213.003108	n02800213_3108	44	350	n/a
416	8	1	3345487.011865	n03345487_11865	65	513	n/a
424	8	1	3746005.002516	n03746005_2516	93	737	n/a
432	8	1	3950228.037563	n03950228_37563	103	823	n/a
440	8	1	3602883.008804	n03602883_8804	82	656	n/a
448	8	1	3541923.004374	n03541923_4374	79	631	n/a
456	8	1	1664990.019129	n01664990_19129	4	29	n/a
464	8	1	2391049.008178	n02391049_8178	31	248	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
