onset	duration	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	2432983.009121	n02432983_9121	32	256	n/a
40	8	1	3400231.021509	n03400231_21509	69	547	n/a
48	8	1	4284002.021913	n04284002_21913	123	984	n/a
56	8	1	3445777.008313	n03445777_8313	72	574	n/a
64	8	1	3623556.017722	n03623556_17722	86	683	n/a
72	8	2	3623556.017722	n03623556_17722	86	683	73.036429
80	8	1	2090827.009305	n02090827_9305	23	183	n/a
88	8	1	4442312.019042	n04442312_19042	134	1070	n/a
96	8	1	1518878.005958	n01518878_5958	1	5	n/a
104	8	1	2055803.006095	n02055803_6095	20	155	n/a
112	8	1	2236241.006815	n02236241_6815	27	214	n/a
120	8	1	3602883.015696	n03602883_15696	82	653	n/a
128	8	1	4373894.026002	n04373894_26002	126	1003	n/a
136	8	1	4555897.005017	n04555897_5017	139	1111	n/a
144	8	1	4254680.001190	n04254680_1190	119	947	n/a
152	8	1	4376876.028833	n04376876_28833	127	1015	n/a
160	8	1	3359137.031119	n03359137_31119	66	525	n/a
168	8	1	3512147.000023	n03512147_23	78	618	n/a
176	8	1	3187595.007260	n03187595_7260	60	477	n/a
184	8	2	3187595.007260	n03187595_7260	60	477	185.045455
192	8	1	1704323.010031	n01704323_10031	5	33	n/a
200	8	1	1639765.047681	n01639765_47681	2	14	n/a
208	8	1	3472535.010217	n03472535_10217	74	585	n/a
216	8	1	4090263.007624	n04090263_7624	109	872	n/a
224	8	2	4090263.007624	n04090263_7624	109	872	225.028176
232	8	1	4044716.012763	n04044716_12763	106	842	n/a
240	8	1	2472293.013453	n02472293_13453	35	275	n/a
248	8	2	2472293.013453	n02472293_13453	35	275	249.026355
256	8	1	4123740.013353	n04123740_13353	111	883	n/a
264	8	1	2799175.015904	n02799175_15904	43	341	n/a
272	8	2	2799175.015904	n02799175_15904	43	341	273.356941
280	8	1	12596148.006386	n12596148_6386	149	1189	n/a
288	8	1	2885462.019412	n02885462_19412	51	405	n/a
296	8	1	2084071.014426	n02084071_14426	22	169	n/a
304	8	1	3793489.013628	n03793489_13628	97	771	n/a
312	8	1	2692877.031838	n02692877_31838	40	319	n/a
320	8	1	3397947.002934	n03397947_2934	68	539	n/a
328	8	1	4154565.019381	n04154565_19381	113	902	n/a
336	8	1	7734017.008706	n07734017_8706	143	1144	n/a
344	8	1	11978233.018962	n11978233_18962	147	1170	n/a
352	8	1	3345487.008958	n03345487_8958	65	520	n/a
360	8	1	3746005.002516	n03746005_2516	93	737	n/a
368	8	1	2943871.003559	n02943871_3559	52	411	n/a
376	8	1	13111881.011914	n13111881_11914	150	1194	n/a
384	8	1	7756951.014073	n07756951_14073	145	1154	n/a
392	8	1	3209910.022305	n03209910_22305	61	483	n/a
400	8	1	1963571.007996	n01963571_7996	16	128	n/a
408	8	1	12582231.039329	n12582231_39329	148	1183	n/a
416	8	1	2226429.017165	n02226429_17165	25	198	n/a
424	8	1	2439033.009911	n02439033_9911	33	264	n/a
432	8	1	2445715.013221	n02445715_13221	34	267	n/a
440	8	1	1645776.009743	n01645776_9743	3	24	n/a
448	8	1	1855672.014199	n01855672_14199	13	100	n/a
456	8	1	3646296.007086	n03646296_7086	88	702	n/a
464	8	1	3544143.003031	n03544143_3031	81	645	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
