onset	duration	event_type	stimulus_id	response_time
0	32	-1	n/a	0
32	8	1	3793489.011217	0.0
40	8	1	12596148.007468	0.0
48	8	1	4591713.007167	0.0
56	8	1	3038480.000320	0.0
64	8	1	1787835.013550	0.0
72	8	1	3837869.004261	0.0
80	8	1	1768244.007012	0.0
88	8	1	3544143.007095	0.0
96	8	2	3544143.007095	97.032802653
104	8	1	7756951.015873	0.0
112	8	1	2236241.008966	0.0
120	8	1	7734017.018410	0.0
128	8	1	3496296.011413	0.0
136	8	1	4123740.012463	0.0
144	8	1	4254680.010170	0.0
152	8	1	2432983.023132	0.0
160	8	1	2090827.011579	0.0
168	8	1	4313503.023067	0.0
176	8	1	2974003.001210	0.0
184	8	1	3541923.003599	0.0
192	8	1	3359137.016646	0.0
200	8	2	3359137.016646	201.0275195
208	8	1	4154565.013637	0.0
216	8	1	2055803.007345	0.0
224	8	1	2391049.010452	0.0
232	8	1	4477387.001527	0.0
240	8	1	3760671.007895	0.0
248	8	1	3612010.012996	0.0
256	8	1	3886762.021877	0.0
264	8	1	2472293.011152	0.0
272	8	1	3394916.033757	0.0
280	8	1	3400231.004196	0.0
288	8	1	3743279.012095	0.0
296	8	2	3743279.012095	297.039320346
304	8	1	1877134.008213	0.0
312	8	1	2317335.024617	0.0
320	8	1	2131653.013952	0.0
328	8	1	3665924.044847	0.0
336	8	1	3609235.003801	0.0
344	8	1	3512147.033515	0.0
352	8	1	2885462.017169	0.0
360	8	1	2841315.010982	0.0
368	8	1	1770393.014471	0.0
376	8	1	1833805.013268	0.0
384	8	1	3543603.004306	0.0
392	8	1	3436182.003357	0.0
400	8	2	3436182.003357	401.048871973
408	8	1	3261776.040091	0.0
416	8	1	1726692.008752	0.0
424	8	1	2374451.018010	0.0
432	8	2	2374451.018010	433.031004561
440	8	1	4272054.015977	0.0
448	8	1	2943871.006541	0.0
456	8	1	3602883.010856	0.0
464	8	1	4373894.022727	0.0
472	6	-2	n/a	0
